id,bucket,title,artist,year,source,sourceId,license,figurePresence,backgroundFit,energyRange,imagePath,backgroundImagePath,sourceUrl,curatorNote
tidal_mineral-met-11126,tidal_mineral,Maine Coast,Winslow Homer,1896,met,11126,Public Domain,none,0.83,"[0.35, 0.88]",/artworks/tidal_mineral/met-11126-maine-coast.jpg,/background_ready/tidal_mineral/met-11126-maine-coast-bg.jpg,https://www.metmuseum.org/art/collection/search/11126,"Rock, tide, and gray water without postcard warmth."
tidal_mineral-met-11127,tidal_mineral,"Moonlight, Wood Island Light",Winslow Homer,1894,met,11127,Public Domain,none,0.88,"[0.18, 0.68]",/artworks/tidal_mineral/met-11127-moonlight-wood-island-light.jpg,/background_ready/tidal_mineral/met-11127-moonlight-wood-island-light-bg.jpg,https://www.metmuseum.org/art/collection/search/11127,A nocturne bridge between tidal mineral and night-city moods.
tidal_mineral-met-11129,tidal_mineral,"Natural Bridge, Bermuda",Winslow Homer,1901,met,11129,Public Domain,none,0.86,"[0.32, 0.82]",/artworks/tidal_mineral/met-11129-natural-bridge-bermuda.jpg,/background_ready/tidal_mineral/met-11129-natural-bridge-bermuda-bg.jpg,https://www.metmuseum.org/art/collection/search/11129,"Rock, coast, watercolor force, and mineral water mood without beach-tourism softness."
tidal_mineral-met-11130,tidal_mineral,Northeaster,Winslow Homer,1895; reworked by 1901,met,11130,Public Domain,none,0.8,"[0.45, 0.95]",/artworks/tidal_mineral/met-11130-northeaster.jpg,/background_ready/tidal_mineral/met-11130-northeaster-bg.jpg,https://www.metmuseum.org/art/collection/search/11130,Heavy surf and rock mass for high-pressure coastal rhythm.
tidal_mineral-met-11138,tidal_mineral,"Shore and Surf, Nassau",Winslow Homer,1899,met,11138,Public Domain,none,0.86,"[0.32, 0.82]",/artworks/tidal_mineral/met-11138-shore-and-surf-nassau.jpg,/background_ready/tidal_mineral/met-11138-shore-and-surf-nassau-bg.jpg,https://www.metmuseum.org/art/collection/search/11138,"Tropical water with mineral restraint; bright, but not vacation-coded."
pastoral_memory-met-435988,pastoral_memory,Ville-d'Avray,Camille Corot,1870,met,435988,Public Domain,ambient,0.79,"[0.12, 0.6]",/artworks/pastoral_memory/met-435988-corot-ville-davray.jpg,/background_ready/pastoral_memory/met-435988-corot-ville-davray-bg.jpg,https://www.metmuseum.org/art/collection/search/435988,A dim pond memory with enough branches and haze to hold a lo-fi sleeve.
pastoral_memory-met-436083,pastoral_memory,A River Landscape with Storks,Charles-François Daubigny,1864,met,436083,Public Domain,tiny,0.84,"[0.12, 0.62]",/artworks/pastoral_memory/met-436083-daubigny-river-landscape-with-storks.jpg,/background_ready/pastoral_memory/met-436083-daubigny-river-landscape-with-storks-bg.jpg,https://www.metmuseum.org/art/collection/search/436083,"A soft green river field; the storks are rhythm, not subject."
pastoral_memory-met-436081,pastoral_memory,Landscape on a River,Charles-François Daubigny,1863,met,436081,Public Domain,none,0.86,"[0.1, 0.58]",/artworks/pastoral_memory/met-436081-daubigny-landscape-on-a-river.jpg,/background_ready/pastoral_memory/met-436081-daubigny-landscape-on-a-river-bg.jpg,https://www.metmuseum.org/art/collection/search/436081,"Old river weather: low drama, strong background usability."
pastoral_memory-manual-monet-haystack-morning-snow-effect,pastoral_memory,"Haystack, Morning Snow Effect",Claude Monet,1891,manual,monet-haystack-morning-snow-effect,Public Domain,none,0.8,"[0.18, 0.64]",/artworks/pastoral_memory/manual-monet-haystack-morning-snow-effect-1891.jpg,/background_ready/pastoral_memory/manual-monet-haystack-morning-snow-effect-1891-bg.jpg,"https://commons.wikimedia.org/wiki/File:Claude_Monet,_Haystack,_Morning_Snow_Effect_(Meule,_Effet_de_Neige,_le_Matin),_1891,_oil_on_canvas,_65_x_92_cm,_Museum_of_Fine_Arts,_Boston.jpg",Snow and grain reduced to a soft object-memory; good for quiet loops and pastoral haze.
pastoral_memory-manual-rawpixel-2681194,pastoral_memory,Woman Lying in the Dunes near Noordwijk,Jan Toorop,1902,manual,rawpixel-2681194,Public Domain,ambient,0.78,"[0.08, 0.48]",/artworks/pastoral_memory/rawpixel-toorop-woman-lying-dunes-noordwijk-1902.jpg,/background_ready/pastoral_memory/rawpixel-toorop-woman-lying-dunes-noordwijk-1902-bg.jpg,https://www.rawpixel.com/image/2681194/free-illustration-image-art-nouveau-woman-field,A body nearly dissolved into grass and pale air; intimate but not portrait-led.
pastoral_memory-met-11897,pastoral_memory,Lake Squam from Red Hill,William Trost Richards,1874,met,11897,Public Domain,none,0.88,"[0.16, 0.62]",/artworks/pastoral_memory/met-11897-lake-squam-from-red-hill.jpg,/background_ready/pastoral_memory/met-11897-lake-squam-from-red-hill-bg.jpg,https://www.metmuseum.org/art/collection/search/11897,A lake remembered from a hill rather than visited; pastoral without postcard sweetness.
nocturne_metro-commons-pissarro-boulevard-montmartre-at-night,nocturne_metro,The Boulevard Montmartre at Night,Camille Pissarro,1897,commons,pissarro-boulevard-montmartre-at-night,Public Domain,ambient,0.86,"[0.42, 0.88]",/artworks/nocturne_metro/commons-pissarro-boulevard-montmartre-at-night.jpg,/background_ready/nocturne_metro/commons-pissarro-boulevard-montmartre-at-night-bg.jpg,"https://commons.wikimedia.org/wiki/File:Camille_Pissarro,_The_Boulevard_Montmartre_at_Night,_1897.jpg",Dense little lights and wet street motion; excellent for night-driving beats.
nocturne_metro-commons-hassam-rainy-day-fifth-avenue,nocturne_metro,"Rainy Day, Fifth Avenue",Childe Hassam,1916,commons,hassam-rainy-day-fifth-avenue,Public Domain,ambient,0.79,"[0.28, 0.74]",/artworks/nocturne_metro/commons-hassam-rainy-day-fifth-avenue.jpg,/background_ready/nocturne_metro/commons-hassam-rainy-day-fifth-avenue-bg.jpg,"https://commons.wikimedia.org/wiki/File:Childe_Hassam_-_Rainy_Day,_Fifth_Avenue_-_y1942-62_-_Princeton_University_Art_Museum.jpg",Rain as blur and crowd texture; good for urban rain without literal window imagery.
nocturne_metro-manual-monet-arrival-normandy-train,nocturne_metro,"Arrival of the Normandy Train, Gare Saint-Lazare",Claude Monet,1877,manual,monet-arrival-normandy-train,Public Domain,ambient,0.86,"[0.38, 0.92]",/artworks/nocturne_metro/manual-monet-arrival-normandy-train-gare-saint-lazare-1877.jpg,/background_ready/nocturne_metro/manual-monet-arrival-normandy-train-gare-saint-lazare-1877-bg.jpg,"https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Arrival_of_the_Normandy_Train,_Gare_Saint-Lazare_-_Google_Art_Project.jpg","Steam, roof geometry, and blurred crowd movement: rain-city music without literal rain."
nocturne_metro-commons-cooper-broadway-from-post-office-wall-street,nocturne_metro,Broadway from the Post Office (Wall Street),Colin Campbell Cooper,ca. 1909,commons,cooper-broadway-from-post-office-wall-street,Public Domain,tiny,0.82,"[0.35, 0.86]",/artworks/nocturne_metro/commons-cooper-broadway-from-post-office-wall-street.jpg,/background_ready/nocturne_metro/commons-cooper-broadway-from-post-office-wall-street-bg.jpg,"https://commons.wikimedia.org/wiki/File:Colin_Campbell_Cooper,_Broadway_from_the_Post_Office_(Wall_Street).jpg",A hazy urban canyon that extends the Wall Street screenshot seed into a truer metro bucket.
nocturne_metro-commons-caillebotte-paris-street-rainy-day,nocturne_metro,Paris Street; Rainy Day,Gustave Caillebotte,1877,commons,caillebotte-paris-street-rainy-day,Public Domain,central,0.62,"[0.28, 0.78]",/artworks/nocturne_metro/commons-caillebotte-paris-street-rainy-day.jpg,/background_ready/nocturne_metro/commons-caillebotte-paris-street-rainy-day-bg.jpg,https://commons.wikimedia.org/wiki/File:Gustave_Caillebotte_-_Paris_Street;_Rainy_Day_-_Google_Art_Project.jpg,"Iconic and foreground-heavy, so treat as calibration / low-frequency pick rather than default."
nocturne_metro-manual-caffi-eclipse-1842,nocturne_metro,"Eclipse of the Sun in Venice, July 6, 1842",Ippolito Caffi,1842,manual,caffi-eclipse-1842,Public Domain,ambient,0.9,"[0.25, 0.78]",/artworks/nocturne_metro/manual-caffi-eclipse-sun-venice-1842.jpg,/background_ready/nocturne_metro/manual-caffi-eclipse-sun-venice-1842-bg.jpg,"https://commons.wikimedia.org/wiki/File:Ippolito_Caffi,_Eclisse_di_sole_alle_Fondamenta_Nove_(1842).jpg","A public cosmic hush: dark water, tiny figures, and a cut of impossible light."
nocturne_metro-commons-whistler-nocturne-southampton-water,nocturne_metro,Nocturne: Blue and Gold—Southampton Water,James McNeill Whistler,1872,commons,whistler-nocturne-southampton-water,Public Domain,none,0.93,"[0.22, 0.72]",/artworks/nocturne_metro/commons-whistler-nocturne-blue-and-gold-southampton-water.jpg,/background_ready/nocturne_metro/commons-whistler-nocturne-blue-and-gold-southampton-water-bg.jpg,https://commons.wikimedia.org/wiki/File:James_McNeill_Whistler_-_Nocturne-_Blue_and_Gold--Southampton_Water_-_Google_Art_Project.jpg,"Wet blue-green silence for night drives, rain, and smoky beats."
nocturne_metro-commons-grimshaw-boar-lane-leeds,nocturne_metro,"Boar Lane, Leeds",John Atkinson Grimshaw,c. 1881,commons,grimshaw-boar-lane-leeds,Public Domain,ambient,0.88,"[0.25, 0.78]",/artworks/nocturne_metro/commons-grimshaw-boar-lane-leeds.jpg,/background_ready/nocturne_metro/commons-grimshaw-boar-lane-leeds-bg.jpg,"https://commons.wikimedia.org/wiki/File:John_Atkinson_Grimshaw_(1836-1893)_-_Boar_Lane,_Leeds_-_LEEAG.PA.2000.0017_-_Leeds_Art_Gallery.jpg","Small source image, but the gaslight atmosphere is very on-brief for nocturne metro."
printed_signal-met-78790,printed_signal,A Realistic Sketchbook by Hokusai (Hokusai shashin gafu),Katsushika Hokusai,1814,met,78790,Public Domain,none,0.82,"[0.12, 0.7]",/artworks/printed_signal/met-78790-hokusai-shashin-gafu.jpg,/background_ready/printed_signal/met-78790-hokusai-shashin-gafu-bg.jpg,https://www.metmuseum.org/art/collection/search/78790,"A signal from an old image system: line, archive, restraint, and hand-made rhythm."
printed_signal-met-49941,printed_signal,Pines and Waves at Ryūtō,Katsushika Hokusai,ca. 1832,met,49941,Public Domain,tiny,0.82,"[0.2, 0.72]",/artworks/printed_signal/met-49941-hokusai-pines-and-waves-ryuto.jpg,/background_ready/printed_signal/met-49941-hokusai-pines-and-waves-ryuto-bg.jpg,https://www.metmuseum.org/art/collection/search/49941,"Wave-line intelligence: musical, archival, and not too literal."
printed_signal-met-54095,printed_signal,The Common Marigold and The Rajoman Flowers,Kubo Shunman,19th century,met,54095,Public Domain,none,0.88,"[0.05, 0.5]",/artworks/printed_signal/met-54095-kubo-shunman-common-marigold-rajoman-flowers.jpg,/background_ready/printed_signal/met-54095-kubo-shunman-common-marigold-rajoman-flowers-bg.jpg,https://www.metmuseum.org/art/collection/search/54095,A botanical print that reads as delicate notation rather than illustration.
printed_signal-met-55433,printed_signal,Sudden Shower over Shin-Ōhashi Bridge and Atake,Utagawa Hiroshige,1857,met,55433,Public Domain,ambient,0.84,"[0.35, 0.82]",/artworks/printed_signal/met-55433-hiroshige-sudden-shower.jpg,/background_ready/printed_signal/met-55433-hiroshige-sudden-shower-bg.jpg,https://www.metmuseum.org/art/collection/search/55433,"Rain as a graphic system: perfect for line, pulse, and wet-city translation."
printed_signal-met-45321,printed_signal,View of the Asakusa Kinryūzan Temple from the Azuma Bridge in the Rain,Utagawa Hiroshige,ca. 1840,met,45321,Public Domain,ambient,0.78,"[0.2, 0.68]",/artworks/printed_signal/met-45321-hiroshige-asakusa-bridge-rain.jpg,/background_ready/printed_signal/met-45321-hiroshige-asakusa-bridge-rain-bg.jpg,https://www.metmuseum.org/art/collection/search/45321,A narrow rain print with enough symbolic weather to support softer rain tracks.
stage_heat-manual-canaletto-piazza-san-marco,stage_heat,The Piazza San Marco in Venice,Canaletto,1723–1724,manual,canaletto-piazza-san-marco,Public Domain,ambient,0.74,"[0.35, 0.85]",/artworks/stage_heat/manual-canaletto-piazza-san-marco-venice.jpg,/background_ready/stage_heat/manual-canaletto-piazza-san-marco-venice-bg.jpg,https://commons.wikimedia.org/wiki/File:Canaletto_-_The_Piazza_San_Marco_in_Venice_-_Google_Art_Project.jpg,"Public rhythm without a modern club signal: plaza, shadow, tiny figures, warm civic tempo."
stage_heat-manual-cooper-view-wall-street,stage_heat,View of Wall Street,Colin Campbell Cooper,early 20th century,manual,cooper-view-wall-street,Public Domain,tiny,0.76,"[0.42, 0.9]",/artworks/stage_heat/manual-cooper-view-of-wall-street.jpg,/background_ready/stage_heat/manual-cooper-view-of-wall-street-bg.jpg,https://commons.wikimedia.org/wiki/File:Olin_campbell_cooper_view_of_wall_street022728).jpg,A bright city field with soft vertical pressure; useful for public rhythm without party clichés.
stage_heat-commons-degas-rehearsal-ballet-onstage,stage_heat,The Rehearsal of the Ballet Onstage,Edgar Degas,ca. 1874,commons,degas-rehearsal-ballet-onstage,Public Domain,ambient,0.78,"[0.3, 0.78]",/artworks/stage_heat/commons-degas-rehearsal-ballet-onstage.jpg,/background_ready/stage_heat/commons-degas-rehearsal-ballet-onstage-bg.jpg,https://commons.wikimedia.org/wiki/File:The_Rehearsal_of_the_Ballet_Onstage_MET_DT1565.jpg,"Stage energy softened into rehearsal: movement, but still background-friendly."
stage_heat-commons-seurat-grande-jatte-1884,stage_heat,A Sunday on La Grande Jatte,Georges Seurat,1884,commons,seurat-grande-jatte-1884,Public Domain,ambient,0.68,"[0.38, 0.85]",/artworks/stage_heat/commons-seurat-sunday-grande-jatte-1884.jpg,/background_ready/stage_heat/commons-seurat-sunday-grande-jatte-1884-bg.jpg,"https://commons.wikimedia.org/wiki/File:A_Sunday_on_La_Grande_Jatte,_Georges_Seurat,_1884.jpg","A known calibration piece for public rhythm; useful, but not the taste anchor."
stage_heat-commons-toulouse-lautrec-moulin-rouge-dance,stage_heat,At the Moulin Rouge: The Dance,Henri de Toulouse-Lautrec,1889–90,commons,toulouse-lautrec-moulin-rouge-dance,Public Domain,ambient,0.74,"[0.45, 0.95]",/artworks/stage_heat/commons-toulouse-lautrec-moulin-rouge-dance.jpg,/background_ready/stage_heat/commons-toulouse-lautrec-moulin-rouge-dance-bg.jpg,"https://commons.wikimedia.org/wiki/File:Henri_de_Toulouse-Lautrec,_French_-_At_the_Moulin_Rouge-_The_Dance_-_Google_Art_Project.jpg",Human rhythm without modern party cliché; a stage-image with real heat.
interior_reverie-met-459086,interior_reverie,Leisure Time in an Elegant Setting,Pieter de Hooch,ca. 1663–65,met,459086,Public Domain,ambient,0.72,"[0.18, 0.65]",/artworks/interior_reverie/met-459086-leisure-time-in-an-elegant-setting.jpg,/background_ready/interior_reverie/met-459086-leisure-time-in-an-elegant-setting-bg.jpg,https://www.metmuseum.org/art/collection/search/459086,"A quiet interior grid; figures are present, but the room is the real rhythm."
interior_reverie-met-436676,interior_reverie,"Woman with a Water Pitcher, and a Man by a Bed",Pieter de Hooch,ca. 1667–70,met,436676,Public Domain,ambient,0.7,"[0.15, 0.62]",/artworks/interior_reverie/met-436676-woman-water-pitcher-man-by-bed.jpg,/background_ready/interior_reverie/met-436676-woman-water-pitcher-man-by-bed-bg.jpg,https://www.metmuseum.org/art/collection/search/436676,A domestic threshold image; usable when cropped as space rather than story.
interior_reverie-manual-granfelt-reposing-dog-1894,interior_reverie,Reposing Dog,Sigrid Granfelt,1894,manual,granfelt-reposing-dog-1894,CC0,central_animal,0.7,"[0.05, 0.45]",/artworks/interior_reverie/manual-granfelt-reposing-dog-1894.jpg,/background_ready/interior_reverie/manual-granfelt-reposing-dog-1894-bg.jpg,https://commons.wikimedia.org/wiki/File:Sigrid_Granfelt_-_Reposing_Dog_-_A_III_2492_-_Finnish_National_Gallery.jpg,"A private, almost silent image; useful when Murmur needs warmth without human portrait energy."
interior_reverie-met-441933,interior_reverie,"Moonlight, Strandgade 30",Vilhelm Hammershøi,1900–1906,met,441933,Public Domain,none,0.96,"[0.05, 0.48]",/artworks/interior_reverie/met-441933-moonlight-strandgade-30.jpg,/background_ready/interior_reverie/met-441933-moonlight-strandgade-30-bg.jpg,https://www.metmuseum.org/art/collection/search/441933,"Probably the cleanest interior field in this batch: pure room, pale moon, no narrative drag."
hypermodern_void-commons-anna-atkins-algae-cyanotype,hypermodern_void,"Dictyota dichotoma, in the young state; and in fruit",Anna Atkins,1843–53,commons,anna-atkins-algae-cyanotype,Public Domain,none,0.9,"[0.05, 0.58]",/artworks/hypermodern_void/commons-anna-atkins-algae-cyanotype.jpg,/background_ready/hypermodern_void/commons-anna-atkins-algae-cyanotype-bg.jpg,https://commons.wikimedia.org/wiki/File:Anna_Atkins_algae_cyanotype.jpg,A clean blue scientific ghost: excellent for quiet future-facing sleeves.
hypermodern_void-commons-haeckel-discomedusae-8,hypermodern_void,"Discomedusae, plate 8 from Kunstformen der Natur",Ernst Haeckel,1904,commons,haeckel-discomedusae-8,Public Domain,none,0.76,"[0.25, 0.85]",/artworks/hypermodern_void/commons-haeckel-discomedusae-8.jpg,/background_ready/hypermodern_void/commons-haeckel-discomedusae-8-bg.jpg,https://commons.wikimedia.org/wiki/File:Haeckel_Discomedusae_8.jpg,"A biological signal field: ornate enough for motion, archival enough for Murmur."
hypermodern_void-commons-whistler-nocturne-black-gold-falling-rocket,hypermodern_void,Nocturne in Black and Gold: The Falling Rocket,James McNeill Whistler,1875,commons,whistler-nocturne-black-gold-falling-rocket,Public Domain,none,0.92,"[0.2, 0.82]",/artworks/hypermodern_void/commons-whistler-nocturne-black-gold-falling-rocket.jpg,/background_ready/hypermodern_void/commons-whistler-nocturne-black-gold-falling-rocket-bg.jpg,https://commons.wikimedia.org/wiki/File:Whistler-Nocturne_in_black_and_gold.jpg,"Almost a dark signal field: historical, but it behaves like an abstract future background."
hypermodern_void-commons-redon-eye-like-a-strange-balloon,hypermodern_void,"To Edgar Poe (The Eye, Like a Strange Balloon, Mounts toward Infinity)",Odilon Redon,1882,commons,redon-eye-like-a-strange-balloon,Public Domain,none,0.82,"[0.18, 0.82]",/artworks/hypermodern_void/commons-redon-eye-like-a-strange-balloon.jpg,/background_ready/hypermodern_void/commons-redon-eye-like-a-strange-balloon-bg.jpg,"https://commons.wikimedia.org/wiki/File:To_Edgar_Poe_(The_Eye,_Like_a_Strange_Balloon,_Mounts_toward_Infinity)_(A_Edgar_Poe_(L%27oeil,_comme_un_ballon_bizarre_se_dirige_vers_l%27infini))_LACMA_AC1997.14.1.1.jpg","A proto-cosmic image: not modern in date, but modern in psychological space."
sublime_terrain-commons-church-cotopaxi,sublime_terrain,Cotopaxi,Frederic Edwin Church,1855,commons,frederic-edwin-church-cotopaxi-google-art-project,Public Domain,tiny,0.86,"[0.45, 0.95]",/artworks/sublime_terrain/commons-church-cotopaxi.jpg,/background_ready/sublime_terrain/commons-church-cotopaxi-bg.jpg,https://commons.wikimedia.org/wiki/File:Frederic_Edwin_Church_-_Cotopaxi_-_Google_Art_Project.jpg,"A volcanic distance field: grand but softened, useful behind cinematic terrain and high-energy emotional builds."
luminist_air-commons-monet-cliff-walk-at-pourville,luminist_air,Cliff Walk at Pourville,Claude Monet,1882,commons,claude-monet-cliff-walk-pourville-google-art-project,Public Domain,tiny,0.82,"[0.18, 0.62]",/artworks/luminist_air/commons-monet-cliff-walk-pourville.jpg,/background_ready/luminist_air/commons-monet-cliff-walk-pourville-bg.jpg,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Cliff_Walk_at_Pourville_-_Google_Art_Project.jpg,"Wind, sea, and cliff dissolve into a light field; useful when a song wants air without becoming postcard-bright."
interior_reverie-commons-hammersh-i-interior-with-young-woman-from-behin,interior_reverie,Interior with Young Woman from Behind,Vilhelm Hammershøi,1904,commons,hammershoi-interior-young-woman-from-behind-randers,Public Domain,ambient,0.91,"[0.05, 0.46]",/artworks/interior_reverie/commons-hammershoi-interior-young-woman-from-behind.jpg,/background_ready/interior_reverie/commons-hammershoi-interior-young-woman-from-behind-bg.jpg,https://commons.wikimedia.org/wiki/File:Vilhelm_Hammershoi_-_Interieur_mit_Rueckenansicht_einer_Frau_-_1903-1904_-_Randers_Kunstmuseum.jpg,"An inward room with a turned-away figure; intimate enough for bedroom songs, restrained enough to stay behind the UI."
interior_reverie-commons-hammersh-i-interior-with-a-reading-young-man,interior_reverie,Interior with a Reading Young Man,Vilhelm Hammershøi,1898,commons,hammershoi-interior-reading-young-man,Public Domain,ambient,0.84,"[0.05, 0.42]",/artworks/interior_reverie/commons-hammershoi-interior-reading-young-man.jpg,/background_ready/interior_reverie/commons-hammershoi-interior-reading-young-man-bg.jpg,https://commons.wikimedia.org/wiki/File:Vilhelm_Hammersh%C3%B8i_1898_-_Interi%C3%B8r_med_l%C3%A6sende_ung_mand.jpg,"Spare furniture, pale wall, one quiet reader: good for songs that feel like they were made alone at night."
tidal_mineral-commons-courbet-the-wave,tidal_mineral,The Wave,Gustave Courbet,1869,commons,gustave-courbet-the-wave-google-art-project,Public Domain,none,0.87,"[0.48, 0.95]",/artworks/tidal_mineral/commons-courbet-the-wave.jpg,/background_ready/tidal_mineral/commons-courbet-the-wave-bg.jpg,https://commons.wikimedia.org/wiki/File:Gustave_Courbet_-_The_Wave_-_Google_Art_Project.jpg,A compressed sheet of dark sea pressure; works for heavier rhythmic music without becoming literal beach imagery.
tidal_mineral-commons-monet-rough-weather-at-tretat,tidal_mineral,Rough Weather at Étretat,Claude Monet,1883,commons,claude-monet-rough-weather-etretat-google-art-project,Public Domain,tiny,0.85,"[0.38, 0.88]",/artworks/tidal_mineral/commons-monet-rough-weather-etretat.jpg,/background_ready/tidal_mineral/commons-monet-rough-weather-etretat-bg.jpg,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Rough_weather_at_%C3%89tretat_-_Google_Art_Project.jpg,Cliff and water dissolve into weather; good for high-texture songs where the image should feel like spray and breath.
